"Country","ContinentCode","Year","GDP","INF","UER","TR","RL","UP","CR","GE","PS","HI","HDI"
"Mali","AF","2020",-1.24,0.4,7.7,14.16,-0.93,43.91,-0.78,-1.17,20.25,4.72,0.434
"Mauritius","AF","2015",3.55,1.3,7.41,8.99,0.87,41,0.25,1.16,1.26,5.48,0.786
"Mauritius","AF","2020",-14.89,2.6,7.41,21.62,0.93,40.76,0.47,0.88,1.27,6.05,0.804
"Mexico","NA","2015",3.29,2.7,4.31,12.78,-0.43,79.29,-0.87,0.15,121.86,7.19,0.759
"Mexico","NA","2020",-8.17,3.4,4.45,14.33,-0.65,80.73,-0.9,-0.24,128.93,6.32,0.779
"Moldova","EU","2015",-0.34,9.7,4.7,16.4,-0.36,42.49,-0.92,-0.65,2.83,5.89,0.703
"Moldova","EU","2020",-7.38,3.8,3.82,17.41,-0.47,42.85,-0.55,-0.51,2.62,5.77,0.75
"Mongolia","AS","2015",2.38,5.7,4.86,11.89,-0.37,68.23,-0.48,-0.41,3,4.87,0.736
"Mongolia","AS","2020",-4.56,3.7,7.01,14.15,-0.24,68.66,-0.47,-0.37,3.28,5.68,0.737
"Morocco","AF","2015",4.54,1.6,9.46,21.21,-0.16,60.81,-0.26,-0.11,34.66,5.01,0.66
"Morocco","AF","2020",-6.29,0.7,11.45,21.18,-0.19,63.53,-0.42,-0.09,36.91,4.92,0.686
"Mozambique","AF","2015",6.72,3.6,3.43,20.33,-0.85,34.4,-0.76,-0.78,27.04,4.55,0.428
"Mozambique","AF","2020",-1.23,3.1,3.81,21.84,-1.05,37.07,-0.77,-0.78,31.26,4.79,0.456
"Namibia","AF","2015",4.26,3.4,20.91,33.42,0.26,46.9,0.3,0.33,2.31,4.57,0.637
"Namibia","AF","2020",-7.87,2.2,21.45,31.22,0.36,52.03,0.3,0.07,2.54,4.57,0.646
"Nepal","AS","2015",3.98,7.9,3.1,14.69,-0.68,18.56,-0.58,-1.07,27.02,4.51,0.568
"Nepal","AS","2020",-2.37,5.1,4.72,15.77,-0.49,20.58,-0.57,-0.94,29.14,5.27,0.602
"Netherlands","EU","2015",1.96,0.6,6.87,21.16,1.94,90.17,1.87,1.85,16.94,7.38,0.927
"Netherlands","EU","2020",-3.8,1.3,3.82,24.27,1.75,92.24,2.03,1.84,17.44,7.46,0.944
"New Zealand","OC","2015",3.74,0.3,5.41,27.42,1.99,86.34,2.27,1.88,4.61,7.29,0.914
"New Zealand","OC","2020",-1.25,1.7,4.59,27.5,1.87,86.7,2.15,1.58,5.09,7.28,0.931
"Nicaragua","NA","2015",4.79,4,4.7,15.59,-0.74,57.9,-0.88,-0.82,6.22,5.83,0.644
"Nicaragua","NA","2020",-1.79,3.7,6.08,17.2,-1.18,59.01,-1.16,-0.65,6.62,5.97,0.66
"Norway","EU","2015",1.97,2.2,4.3,22.22,2,81.09,2.24,1.86,5.19,7.52,0.948
"Norway","EU","2020",-0.72,1.3,4.42,21.09,1.97,82.97,2.1,1.93,5.38,7.39,0.957
"Panama","NA","2015",5.73,0.1,2.98,10.1,-0.12,66.7,-0.41,0.31,3.97,6.79,0.782
"Panama","NA","2020",-17.94,-1.6,12.85,9.94,-0.27,68.41,-0.56,0.2,4.31,6.18,0.815
"Paraguay","SA","2015",2.96,3.1,4.56,9.64,-0.63,60.75,-1,-0.98,6.69,5.88,0.718
"Paraguay","SA","2020",-0.82,1.8,7.55,9.51,-0.41,62.18,-0.84,-0.54,7.13,5.65,0.728
"Peru","SA","2015",3.25,3.4,3.27,14.92,-0.48,77.36,-0.58,-0.34,30.47,5.82,0.75
"Peru","SA","2020",-10.95,2,7.18,13.2,-0.38,78.3,-0.5,-0.26,32.97,5.84,0.777
"Philippines","AS","2015",6.35,0.7,3.07,13.02,-0.4,46.28,-0.46,0.2,102.11,5.07,0.702
"Philippines","AS","2020",-9.52,2.4,2.52,13.95,-0.63,47.41,-0.49,0.1,109.58,5.88,0.718
"Poland","EU","2015",4.24,-0.9,7.5,15.69,0.83,60.28,0.73,0.77,37.99,5.79,0.858
"Poland","EU","2020",-2.54,3.4,3.16,17.56,0.53,60.04,0.65,0.36,37.9,6.17,0.88
"Portugal","EU","2015",1.79,0.5,12.44,22.79,1.13,63.51,0.93,1.19,10.36,5.1,0.843
"Portugal","EU","2020",-8.44,0,6.79,22.09,1.18,66.31,0.75,1.02,10.3,5.93,0.864
"Republic of the Congo","AF","2015",-3.55,3.2,20.45,12.75,-1.13,65.54,-1.25,-1.05,4.86,4.29,0.614
"Republic of the Congo","AF","2020",-6.24,1.8,22.84,8.95,-1.16,67.83,-1.44,-1.48,5.52,5.19,0.574
"Romania","EU","2015",2.95,-0.6,6.81,18.94,0.23,53.89,-0.14,0.13,19.82,5.12,0.806
"Romania","EU","2020",-3.75,2.6,5.03,14.28,0.39,54.19,-0.07,-0.26,19.26,6.14,0.828
"Russia","EU","2015",-1.97,15.5,5.57,10.64,-0.8,74.05,-0.95,-0.29,144.1,5.72,0.813
"Russia","EU","2020",-2.68,3.4,5.59,10.83,-0.79,74.75,-0.91,-0.08,144.07,5.48,0.824
"Rwanda","AF","2015",8.86,2.5,1.15,13.3,0.06,17,0.62,-0.11,11.37,3.47,0.515
"Rwanda","AF","2020",-3.36,9.9,1.49,15.06,0.11,17.43,0.55,0.31,12.95,3.42,0.543
"Saudi Arabia","AS","2015",4.11,1.2,5.59,3.33,0.12,83.18,0.05,0.2,31.72,6.41,0.857
"Saudi Arabia","AS","2020",-4.14,3.4,7.45,8.6,0.24,84.29,0.27,0.14,34.81,6.49,0.854
"Senegal","AF","2015",6.37,0.1,6.76,15.77,-0.14,45.86,0.06,-0.45,14.58,3.9,0.504
"Senegal","AF","2020",1.33,2.5,3.62,16.38,-0.29,48.12,0.01,-0.03,16.74,5.13,0.512
"Serbia","EU","2015",1.81,1.4,17.66,22.36,-0.06,55.7,-0.29,0.02,7.1,5.12,0.785
"Serbia","EU","2020",-0.94,1.6,9.01,23.5,-0.1,56.45,-0.43,-0.01,6.9,6.08,0.806
"Singapore","AS","2015",2.98,-0.5,3.79,13.14,1.81,100,2.09,2.23,5.54,6.8,0.929
"Singapore","AS","2020",-4.14,-0.2,4.1,12.89,1.87,100,2.15,2.32,5.69,6.38,0.938
"Slovakia","EU","2015",5.22,-0.3,11.48,18.16,0.49,53.89,0.14,0.77,5.42,6,0.849
"Slovakia","EU","2020",-4.36,1.9,6.69,18.77,0.67,53.76,0.44,0.54,5.46,6.33,0.86
"Slovenia","EU","2015",2.21,-0.5,8.96,18.49,0.97,53.78,0.77,0.97,2.06,5.85,0.886
"Slovenia","EU","2020",-4.23,-0.1,4.97,16.95,1.06,55.12,0.8,1.16,2.1,6.46,0.917
"South Africa","AF","2015",1.32,4.5,25.15,25.05,0.04,64.83,-0.04,0.12,55.39,4.64,0.699
"South Africa","AF","2020",-6.43,3.2,29.22,23.45,-0.18,67.35,-0.01,0.1,59.31,4.96,0.709
"Spain","EU","2015",3.84,-0.5,22.06,13.72,0.91,79.6,0.66,1.18,46.44,6.33,0.885
"Spain","EU","2020",-10.82,-0.3,15.53,13.53,0.89,80.81,0.74,0.89,47.36,6.49,0.904
"Sweden","EU","2015",4.49,0,7.43,27.14,2.02,86.55,2.19,1.71,9.8,7.36,0.932
"Sweden","EU","2020",-2.94,0.5,8.29,26.85,1.8,87.98,2.13,1.71,10.35,7.36,0.945
"Switzerland","EU","2015",1.66,-1.1,4.8,9.45,1.94,73.72,2.13,1.99,8.28,7.59,0.943
"Switzerland","EU","2020",-2.39,-0.7,4.82,9.22,1.82,73.92,2.08,2.01,8.64,7.57,0.955
"Thailand","AS","2015",3.13,-0.9,0.6,16.14,-0.17,47.69,-0.53,0.28,68.71,6.46,0.746
"Thailand","AS","2020",-6.2,-0.8,1.1,14.48,0.12,51.43,-0.46,0.23,69.8,5.99,0.777
"Togo","AF","2015",5.74,2.6,2.2,18.95,-0.8,40.1,-0.73,-1.2,7.32,2.84,0.502
"Togo","AF","2020",1.75,1.8,3.94,13.16,-0.65,42.8,-0.71,-0.7,8.28,4.11,0.515
"Uganda","AF","2015",5.19,5.4,1.91,10.8,-0.4,22.06,-1.06,-0.55,38.23,3.93,0.515
"Uganda","AF","2020",2.95,3.8,2.77,11.39,-0.34,24.95,-1.03,-0.59,45.74,4.64,0.544
"Ukraine","EU","2015",-9.77,48.7,9.14,20.45,-0.86,69.06,-1.02,-0.52,45.15,4.68,0.742
"Ukraine","EU","2020",-3.75,2.7,9.13,19.15,-0.69,69.61,-0.81,-0.38,44.13,4.88,0.779
"United Kingdom","EU","2015",2.62,0.4,5.3,24.79,1.8,82.63,1.87,1.73,65.12,6.87,0.916
"United Kingdom","EU","2020",-9.27,1,4.47,24.26,1.49,83.9,1.69,1.37,67.08,7.06,0.932
"USA","NA","2015",2.71,0.1,5.28,11.23,1.59,81.67,1.39,1.46,320.74,7.12,0.917
"USA","NA","2020",-3.4,1.2,8.05,9.94,1.36,82.66,1.07,1.31,331.5,6.95,0.926
"Zambia","AF","2015",2.92,10.1,10.13,14.39,-0.22,41.91,-0.35,-0.61,15.88,5.13,0.57
"Zambia","AF","2020",-2.79,15.7,12.85,16.44,-0.63,44.63,-0.72,-0.8,18.38,4.07,0.584
"Zimbabwe","AF","2015",1.78,-2.4,4.78,17.67,-1.32,32.38,-1.32,-1.2,13.81,4.61,0.544
"Zimbabwe","AF","2020",-6.25,557.2,5.35,13.6,-1.31,32.24,-1.29,-1.3,14.86,3.15,0.571
